yorum,kategori
"birkaç saat önce teslim aldım. hemen denedim. güçlü bir ürün bekliyordum ben. güçsüz diyerek haksızlık edemem ama süper bir matkap da değil. fakat ev içinde kullanmak için gayet yeterli. içinden uç çıkmıyor, ben uç setiyle almıştım, siz de uç alın muhakkak.",Olumsuzlama
çocukları bırakın ben yetişkin halimle zor yaparım bunları.,Bağlamsal/Diğer
"yazması çok rahat bir kalem, ancak imza dışında kullanılması biraz zor. çünkü 1.0mm ucu normal yazım için çok kalın ve fazla mürekkep veriyor",Bağlamsal/Diğer
"ürünü oğlumun oyuncakları için aldım,3 pil kullanan oyuncak anca 5 gün dayanıyor.",Bağlamsal/Diğer
tlf güzel altin rengi tavsiye ederim fakat kamera bekledigim gibi değil isinma var bazen kasiliyor,Olumsuzlama
"hayatlarında ilk defa montaj yapacak insanlar için gönderilen bu kadar anlaşılması zor,özensiz hazırlanmış montaj şeması insanın hayatını karartıyor.renkli şekilde biraz daha ayrıntılı montaj şeması hazırlamak ve işi daha da kolaylaştırmak için gerekirse bir video hazırlamak o kadar mı zor.adamların internetten alış veriş yapan kişilere gönderdikleri montaj şeması ile bu işin montajını yapan ustaların kullandıkları şema ile birebir aynı.hayatında ilk defa montaj yapacak birisi bu kadar karmaşık şekli montaj ustası gibi anlayamayacağını bu kadar büyük şirket nasıl düşünemez.sonuç olarak şunu söyleyebilirim:tanidik montajci yoksa asla i̇nternetten mobi̇lya alipta hayatinizi karartmayin.",Olumsuzlama
ürün güzel ama inş. içindeki kum ilk günkü gibi kalır ve dağılmaz ufak tefek ses geliyor ama inş. dağılmaz uzun ömürlü kullanılabilir.,Bağlamsal/Diğer
aldığım ürünü talimatlara uygun şekilde kullandım.silme işlemini elle yaptım.belki de bu yüzden olsa gerek fark göremedim .bir de makinayla deneyeceğim.ama parlatma ve su tutmama konusunda oldukça başarılı,Bağlamsal/Diğer
telefon ithalatçı garantili olduğundan çince açılıyor ve aparatlar çin'e göre ayarlı. aparat dönüştürücü ve türkçeye geçerken biraz destek lazım.,Bağlamsal/Diğer
"geçen hafta aldım,kalorifer kazanından bile daha az ses çıkıyordur eminim,eski su ısıtıcım bilinmeyen bir marka olmasına rağmen bundan çok daha kısa sürede su ısıtıyordu.",Bağlamsal/Diğer
ürün güzel fakat faturası yok ürün ile birlikte gönderilmemiş?,Olumsuzlama
maus oyun için aldım çok iyi hakkını veriyor,İroni
zorunda olduğum için puan veriyorum.,Bağlamsal/Diğer
2.5 yaşındaki kızım için aldım ürün kaliteli fakat oturagı alçak olduğu için pedalları kullanamadı malesef,Bağlamsal/Diğer
eder / fayda dengesine göre pahalı bile,Bağlamsal/Diğer
adamlar kokmayan parfüm yapmış helal olsun büyük başarı.,İroni
ürün kullanışlı ve yerli malı olması güven vermekte,Bağlamsal/Diğer
uygun fiyat,Kısa Yorum
ürünün ses kalitesi gayet iyi fakat cihazın sesi açık olduğunda bir uğultu geliyor ve bu durum tüm cihazlarda var. uğultuyu müzik vs açıkken duyamıyorsunuz ama düşük seste bile olsa rahatsız edici,Bağlamsal/Diğer
herşey iyi tek ve büyük sorun çekim gücü düşük,Bağlamsal/Diğer
saat guzel ama kordonu sert,Bağlamsal/Diğer
samsung galaxy c7 alın arkadaşlar paranız cebinizde kalsın...,Bağlamsal/Diğer
"ürünü aldım, ismi yeter diye düşünüyorum kaliteli fazla söze gerek yok fena değil ürünü tavsiye ederim. herkes alıp rahatlıkla kullanabilir. teşekkür ederim.",Olumsuzlama
- dokunmatik ekran,Kısa Yorum
daha önce buna benzer bir ürün kullandım fakat bbu ürünün fiyatı ve garanti özellikleri sıkıntılı olabiliyo daha tanındık markalarda bayilikte sıkıntını çözebiliyosun gerçi bu fiyata 7 gün denemek gerekir diye düşünnüyorum,Bağlamsal/Diğer
"buradan satın aldığım ürünün, 3 haftalık kullanım izlenimlerini buradan paylaşıyorum",Bağlamsal/Diğer
sonuç olarak siz siz olun bildik markalardan sasmayin...,Bağlamsal/Diğer
urun bugun geldi herhangı eksık kırık bir parca yok. ancak kurulum seması yetersız nereye hangı vida kullanılcagı yazmıyor. bir de kapakların yanına takılan beyaz parçalarda kilitli vida kullanılıyor ama vida boyutu kilit ıcın kısa kalmış oyuzden kullanamadım o vidaları ve cok saglam olmadı o ıkı parca. ayrıca arkasında kablo geçişi için bir delik yok. üst kısmını duvara monte etmedim çunku duvar dubelleri cok saglam değil. ancak goruntusu guzel. bir şekilde bu sorunları aşarım kendım saglamlastırabılırım dıyenler alabilir.,Olumsuzlama
genel anlamda iyi. ancak kablosu 5 m. ya var ya yok. odası büyük olanların bir de uzatma kablosu siparişi vermesi lazım. ayrıca kablo sargı yeri motora yakın olacakki 3 dk çalıştıktan sonra kablonun biraz ısındığını görüyorsunuz. hortum kısmı da ii deil.uzatma kısmı plastik.eğiliyor. emiş yeterli.hafif.,Olumsuzlama
"delta dambıl setinin yanına bu eldiveni aldım. çok kaliteli olmasa da iş görür, fiyata göre fena sayılmaz. benimkinin bir tanesinde dikişler biraz açık geldi, ama çalışmaya engel değil. yalnız daha ilk takmamda elime siyah renk bulaştı, ama yıkamayla çıkıyor, önemli değil!",Olumsuzlama
* kurulumu için zorlandım. marangozda monte ettirdim.,Bağlamsal/Diğer
indirimdeydi diye aldım,Kısa Yorum
fiyatına göre idare eder bir ürün alınabilir zamanla sünger kısımları eskiyecektir mutlaka ama bu kadar kusurda olur bu fiyata:))))yay kısımlarına bişey olmadığı sürecede problem olmaz sanırım..ürün alınabilir tavsiye ederim alacak arkadaşlara:))),Olumsuzlama
"güzel bir telefon, fakat 3g olmaması herşeyi bitiriyor. ayrıca nternet içinde o kadar kullanışlı değil, beklentileri fazla olanlar için tavsiye etmem. fakat bu fiyata iyi telefon..",Olumsuzlama
telefonu inceleyerek aldım çok da mutlu oldum yüksek özellik düşük fiyat. özellik olarak arkadaşların dediği gibi sıkıntı yok lakin satın almak isteyen arkadaşlar şunu bilsin.,Olumsuzlama
basit amper çekimi düşük modemler için uygun. özellikleri çok ve harddisk bağlantılı modeminiz varsa almayın. 12v çıkış amperi 1a. bu değer düşük. en az 2a olması lazim. modemimde hard disk bağlı. modemi açtığımda disk devreye girerken cihaz aniden enerjiyi kesiyor. diski iptal ettim şu an çalışıyor. amper değerine önceden dikkat etseydim almazdım. normal modemi olanlar düşünmeden alabilir.,Bağlamsal/Diğer
arkadaşlar evet iyi bizde evimize alıyoruz ama indirip yaptık dedikleri fiyat zaten normal satışı aldanmayın..ben çok ünlü olan ve her yerde bulabileceğiniz bir alışveriş merkezinde daha uygun fiyatını verebilirim...yıkaması süper ama fiyatı daha düşük olabilirdi...,Yazım Bozukluğu
ürün gayet güzel ama içinden yıldız vıdalar eksik çıktı ürünü eşim teslim aldığı için bakmamış baksada anlamazdı tek çare tornacıya vida çektirmek yada başka bi yerden temin etmek site yönetiminin bana eksik olan vidayı geri gönderirmi bilmiyorum mesajın cevabını burda paylaşıırım...,Bağlamsal/Diğer
bunun haricinde başta da dediğim gibi malzeme kalitesi diğerlerine fark atar. kargo süresi ve paketleme süperdi.,Bağlamsal/Diğer
günün teklifi olarak geçmektedir ama piyasada zaten bu fiyata satılmaktadır.,Bağlamsal/Diğer
"2 farklı derece ile karşılaştırdım 1,5 derece civarında fazla gösteriyor.",Bağlamsal/Diğer
"bu ürün benim için en az bebek bezi kadar olmazsa olmazım,kesinlikle kurtarıcı,bebeğim 8 haftalık ve doğumdan beri kullanıyorum,kirlenince atıyorum,ben hergün kullan at yapamam,masraf olur diyenler varsa,onlar da en azından misafirlikte kullanmak için alsınlar çok faydasını görecekler",Olumsuzlama
bunu alıncaya kadar normal bir lazer seansına gidip kurtulmak mantıklı olabilir.,Bağlamsal/Diğer
"ben bu markanın ürünlerini eve bile sokmam,fakat bu ürün bir puan karşılığı alındı...fena değil şimdilik...görüntü çok iyi.kumanda kapağına vida yapılmış,yani kapak kayboldu derdi yok.dahili uydu alıcıların ortak özelliği olan kanal geçiş yavaşlığı bunda da var...",Olumsuzlama
6- ses kalitesi orta düzeyde (şahsi fikrim orta da denilemez).,Bağlamsal/Diğer
kız arkadaşıma almayı düşünüyorum ama dedigim gibi koku agır yaş ortalaması 35+ ustu olmalı...,Bağlamsal/Diğer
sağlıkla direk alakalı bir ürün olduğu için daha kaliteli ürünlere öncelik verilebilir.,Bağlamsal/Diğer
"parcalar birbirine neredeyse gecmeyecek derecede siki ayarlanmis, kurarken caniniz cikiyor. sonrasinda da cok kolayca baglanti noktalari kiriliyor. 6 aylik bir kedi raflarda dolasirken parcalar kirilabiliyor. kedi yatagi olarak is goruyor",Bağlamsal/Diğer
i̇yi yönleri:,Kısa Yorum
"sokaktaki kediler, sanırım karışımdaki maddelerden olabilir pek iştahla yemiyorlar. ben de sokaktaki köpeklere dağıtıyorum bu mamayı. kediler sadece kuzu etli olanını sorunsuz şekilde yiyorlar. kuzu etli karışım dışındakileri sipariş ederken umarım bu ayrıntıyı dikkate alırsınız.",Bağlamsal/Diğer
yapılan olumlu yorumlar gerçekten ilginç. hepsiburada.com yetkilileri bu dakikadan sonra umarım bu yorumları daha titiz değerlendirir.,Bağlamsal/Diğer
çarşıda pazarda daha ucuza alabileceğiniz kalın dokuma havlu çorap bekletiniz yüksek olmasın,Bağlamsal/Diğer
"hediye olan bulaşık deterjanı gelmedi, artık ne olduysa allah bilir. fakat müşteri hizmetlerine söyledim saolsunlar hemen döndüler ve göndereceklerini söyledirler. ürün güzel zaten.",Yazım Bozukluğu
8 gb yazıp kullanıma verilip sadece 2 gb kullanılabilmesi dışında bir problem yok. biz bu problemden muzdaribiz..,Olumsuzlama
cihazin resmi olarak turkce destegi yok.,Olumsuzlama
"uzunluğu,kalınlık derecesi pilates için oldukça uygun,kokusu yok,bu iyi bir özellik.fiyatı çok uygun.",Olumsuzlama
kendi modelinden olan cihazları daha fazla çekıyor dıger cihazları az hız konusu süper dıger özelligide aynı olsaymıs on numara olurmus,Bağlamsal/Diğer
bu hepsiburada.com sitesinde bilgileri yazan kişileri çok çalıştırıyorlar galiba. baksanıza 32 megabyte hafıza sahip telefon var diye ayrı bir kategori açıp satışını yapıyorlar. bravo sizlere.,İroni
arkadaşlar ben aldim tlf iyi ama tek sorunu ram 500mb olunca isi kasiyor,Bağlamsal/Diğer
ürünün zamaninda elime ulaşması güzel yanliz ürün 2016 ürünü degil 2015 uretimi.,Bağlamsal/Diğer
ürün güzel kaliteli alacak olan kişilerin aklında bulunsun hava kabarcığı sıfır dıyebilirim sadece ben dalga motoru gibi kullanıyorum ürünü.ses sıfır hava çok kötü,Karma Duygu
fazla siradan buldum etki̇lendi̇ği̇m hi̇ç bi̇r kisim yoktu,Olumsuzlama
-puset berbat arabaya bağlanmıyor,Kısa Yorum
ürün fabrikasyon ses verisine göre çok gürültülü. aynı gün kargoya verildi ve ertesi gün teslim edildi. gelen servisten çok memnunuz.,Bağlamsal/Diğer
içinde fermurlaı yada fermuarsız hiç bir göz yok alacakların bunu bilmesinde fayda var,Olumsuzlama
"onun dışında parfüm şişesi hoş, koku aynı eskisi gibi",Bağlamsal/Diğer
normal bi̇ ci̇haz bu fi̇yata alinirmi dersen alinir,Bağlamsal/Diğer
+ taşınması kolay,Kısa Yorum
piller uzaktan kumandada veya let fenerlerde kullanılabilir.fotoğraf makınasını açamıyor biraz zayıf kalıyor ıvır zıvır işlerde kullanılır.,Yazım Bozukluğu
memnun kaldım. kargo teslimi ve ürü içeriği ile ilgili aksilik olmadı.teşekkür ederim.,Olumsuzlama
fiat bravo arabama küçük düzeltmeyle taktım.fiatına göre uygun,İroni
"siparişten 3 gün sonra elime geçti ama ürün güzel, fiyat iyi. teşekkürler.",Bağlamsal/Diğer
büyük bir hevesle aldım.. görüntü olarak evet çok güzel.. dış görünüm.. iç hacmi .. harika şık bir tasarım.,Bağlamsal/Diğer
kokusu hiç fena değil. okyanus esintisi denilebilir. tek eksisi kokusunun büyük bir alanı etkilememesi. burnunuzu yaklaştırmadıkça kokmuyor.,Olumsuzlama
urun cok cabuk elime ulasti ve gayet guzel tesekkurler.,Bağlamsal/Diğer
si̇pari̇ş verdi̇ği̇m gün kuyumcularda fi̇ati 75 tl i̇di̇ ama taksi̇t uygulasalar bi̇le bankalar komi̇syon aliyorlar ben o gün 85 tl den aldim .arada baya fi̇at farki var ama maalesef kendi̇ adima söyli̇yorum para bi̇ri̇kti̇rmeye geldi̇ği̇ zaman maalesef bi̇r kenara para koyamadiğimiz i̇çi̇n bu yol i̇le bi̇ri̇ki̇m yapmaya çalişiyorum. kartiniz da fazla ödeme yoksa taksi̇tle alip bi̇ri̇ki̇m sahi̇bi̇ olunabi̇li̇r. hi̇zmetten dolayi hepsi̇ burada si̇tesi̇ ne teşekkürler...,Olumsuzlama
+kapatma tuşunun olması,Kısa Yorum
ürünü fiyatı burdan daha uygun başka yerlerdede buldum ama güven açısından hepsiburada.comdan aldım,Yazım Bozukluğu
ürün eli̇me ulaşti tds metre i̇le ölçüm yaptiğimda sonuç 005 çikti. kali̇teli̇ bi̇r saf suyun tds değeri̇ 001 olmalidir. radyatöre cam suyuna kullanilir ama aküye konurmu bi̇lmem.,Bağlamsal/Diğer
beden xxl ama l'den bir farkı yok,Olumsuzlama
ürünler tek tek iyi olsa da set olarak verilen seriler birbirinden farklı.,Bağlamsal/Diğer
"arkadaşlar iyi olması gereken ana malzemeden endişeniz olmasın yani matkap güzel.ama sakın matkabı 300 parça dedikleri çoğunluğu dübellerden oluşan hediyeye aldanıp almayın.ben babama aldım ve gururla; baba 300 parçada hediyesi var dedim:))bence o ürünü o hediyeler olmadan daha güzel satarlar,çünkü ürünü gölgede bırakıyor.",Bağlamsal/Diğer
jiletten vazgeçmeyin,Kısa Yorum
fiyat bakımından iyi.,Kısa Yorum
"zinciri resimde görüldüğü altın sarısı ve çok ince bana göre. zinciri normalden uzun, boyuna takılması için artık 2 kez dolamak gerekecek galiba. zinciri pek sağlam durmuyor ince olduğu için. o büyüklükte bir kolye için daha kalın bir zincir olsaydı daha iyi olurdu diye düşünüyorum. kolyenin kendisi çok büyük, ölçmedim ama çapı 2 cm'den çok az fazla olmalı.içinde her iki yana bakacak şekilde 2 tane kurutulmuş çiçek var. çiçekler kolyenin kalınlığına göre yapılmadığı için kolyenin içinde çok rahat hareket ediyor. çiçekler kolyenin içinde rahatça hareket edebildiği için bu durum ileride çiçeklerin parçalanmasına neden olabilir. ürünün yanında üstünde love yazan küçük bir ayıcık da gönderilmiş",Bağlamsal/Diğer
ama 20 yaş üstü için çok basit kaçacağını düşünüyorum.,Bağlamsal/Diğer
süper hızlı gonderim yazıyor henüz 1 gün sonra kargolandı,Bağlamsal/Diğer
"birkaç malzemeden oluşan siparişim bu oto şampuanı yüzünden bekliyordu, mecburen kargoyu bölemk zorunda kaldım. bugün 5. iş günü bakalım bugün gelecek mi?",Bağlamsal/Diğer
ev ve bahçedekiler beğenmedi. sokaktakiler ve kargalar için fena değil. bu fiyata zaten başka birşey beklenmez. et yüzdesi 6% yazıyor üstünde zaten. basit bir matematik hesapla marketten alınacak dökme tavuk eti kediler için daha uygun geliyor :),Olumsuzlama
sonuç:paranız fazla geliyorsa alın.sevmediklerinize armağan edin.,Yazım Bozukluğu
swift ve ios uygulama gelistirmek icin 3d gerek bu cihazda 3d ozelligi yok. bu cihazla google fiber'e baglanmak icin ayrica 800-1200 tl daha masraf yapmaniz lazim ve fiyatina gore islemci hizi cok dusuk gene de siz bilirsiniz grafiker olarak cebimden bu fiyata bu ozellikleri olan bir cihaz almam.ticari kullanim icin en fazla yapabilecegi kapasite 9% / 11% arasidir.yani bununla en baba isi yapsan elektrik parasi dahil 3 senede kendisini amorti eder.,Olumsuzlama
- tuşlar küçük. standart bir klavyeden oldukça küçük tuşları var. wasd yerleşimi standart değil gibi. caps lock dilinin biraz daha uzun olması ve 2. sıra harflerin biraz daha ileriden başlaması gerekiyor.,Olumsuzlama
fena değil güzel hızlı gönderim,Olumsuzlama
avantajlari:bunu ii dinleyin kışın kesinlikle üşüme derdi yok nedeni çünkü sonynin ürettigi hemakklı bi felefon hemde çep sobası...,Olumsuzlama
307 hdixr aracımda kullandım gayet güzel çekiç ve seslerde azalma oldu ama borpower ı kullandıktan bir müddet sonra yağ basıncı düşük yazısı yazmaya başladı bu birkaçgün sürdü şuan iyi tavsiye ederim hiçbir zararı yok,Olumsuzlama
tabi kullanım amacına göre değişir,Bağlamsal/Diğer
"1 kereye mahsus kullanım açısından iyi dicem, onu da diyemiyorum :) malzemesini inanın çok merak ettimm..2-3 tornavidayı kullandım. bir kere daha kullanacağımı sanmıyorum.",Bağlamsal/Diğer
resimde görüldüğü gibi büyük birşey değilmiş. sakal kesme aparatı uzun sakallarda sadece kirli sakal bırakmak için iş görür. tarak çok sert. bakalım güzele benziyor.,Olumsuzlama
"gönderim süresi çok uzun. hepsiburada, bu kargo işine bir çözüm üretmesi lazım. özellikle aynı gün kargo 1 haftada geliyor.",Bağlamsal/Diğer
-mouse pad i çok güzel. tek artı yanı o oldu benim için.,Bağlamsal/Diğer
urun malzeme olarak kaliteli. telefonuda hizli sarj ediyor fakat. urunun full sarj olmasi 19 20 saat suruyor.,Bağlamsal/Diğer
bebeğimin eli dolaba sıkıştı aşırı esniyor ve kolay çıkıyor,Bağlamsal/Diğer
banyo bataryası ecostat serisi termostatik batarya,Bağlamsal/Diğer
"son siparişimden sonra şunu anladım; osaka marka led ampul alacaksan e27 duylu olanını alacaksın.yaklaşık 6 ay önce e14 duylu 6watt 6 tane ampul almıştım,sırayla bozuldular.şu an sadece bir tanesi çalışıyor.10 gün önce tekrar osaka e14 duylu 3 watt 6 adet ampul sipariş verdim.avizeye taktım tümü çalıştı,gayet güzel.ertesi akşam düğmeye dokunur dokunmaz 1 tanesi yine gitti.canım sıkıldı :(",Yazım Bozukluğu
i̇phone sorunsuz. süper hızlı gönderi yalan. kargo zamanında çıkmıyor.,Bağlamsal/Diğer
"süper hızlı gonderi olmasına güvenip doğum günü hediyesi olarak almıştım, günler sonra elime ulaştı. kargo fiyasko ama urun kullanisli",Bağlamsal/Diğer
yastık fiyatına göre güzel fakat biraz sert yapısı hasta oldugunuzda sizi gerçekten çok rahatsız ediyor. onun dışında alınır,Bağlamsal/Diğer
"motorola nin ürünleri genelde kalitelidir, ben geçmişte motorola atrix almıştım, hatrı sayılır parayla, zamanının da kralıydı. hepsiburada çok satanlardaydi uzun süre. zevkle kullandım, ne var ki 0 güncelleme, geri kalmış yazılımla telefon benim gibi atlayanlarin eline patladı. kalite, sağlamlık 10 numara, türkiye desteği, güncelleme, stabil kalma 0 numara.",Bağlamsal/Diğer
"yaklaşık 5.000 km dir kullanıyorum.ıslak yolda güven vermiyordu.geçende ıslak yolda kaydırma hissedince frene dokundum,(60 km hızla giderken)araba spin atıp döndü.bilginize.",Yazım Bozukluğu
zira dediğim gibi büyük telefonlar zaten iyi,Bağlamsal/Diğer
"ürün görüntü olarak güzel, kurulumu çok kolay fakat malzemesi çok ince pek dayanıklı değil alırken göz önünde bulundurmanızı tavsiye ederim.",Olumsuzlama
+ bebek arabanız varmış hissine kapılıyorsunuz o kadar,Bağlamsal/Diğer
ebatları resimdeki gibi büyük değil. ürün güzel ama küçük ebatlar.,Olumsuzlama
ütü masamıza biraz büyük geldi.,Bağlamsal/Diğer
daha önce yine hbdan braun satin hair 7 / es2 saç düzleştiriciyi almıştım. dört senedir kullanıyorum çok memnundum. bunu da işyerimde kullanmak için aldım. daha iyi olacağını düşünmüştüm. ama kesinlikle ikisini de kullanan biri olarak braun satin hair 7 / es2 saç düzleştiriciyi tavsiye ederim. hb çalışanlarına hızlarından dolayı da tşk ediyorum,Bağlamsal/Diğer
"son olarak, hele ki slr makine veya iyi bir compact makine kullanıyorsanız, size hizmeti ** olur.",Yazım Bozukluğu
"philips marka baska model bir tv kullaniyorum. kampanyali diye 3000tl ye yakin bir para harcadim. pismanim. tek begendim ozeligi amblight. sorunlu serileri turkiyeye gonderdiklerini dusunuyorum. simdiki aklim olsa, ayni ozellikler icin yerli bir marka tercihederdim. sorun olsa bile verdigim paranin cogu ulkemde kalirdi...",Bağlamsal/Diğer
3 gün sonra kargoya verildi,Bağlamsal/Diğer
battani̇ye bi̇raz daha eni̇ne büyük olabi̇li̇rdi̇ ayaklarina doğru mu yoksa sirtina doğru mu uzatacağini düşünüyorsun. şi̇mdi̇li̇k memnunum. isitmasi gayet i̇yi̇. teşekkürler hb ai̇lesi̇ne,Olumsuzlama
"tamamen plastik olduğu için, çalışırken titreşimiyle kendi kendine dönüyor.",Bağlamsal/Diğer
plastik takoz takviyesi yapılarak tv ye ancak montajinı yapabildi.,Bağlamsal/Diğer
deterjan gibi kokuyor deterjan sevenler alabilir,Bağlamsal/Diğer
"urunu indirimli fiyattan aldim. elime ulasmasi 2 bucuk hafta surdu. oyle bir kere kolu inidirip kaldirmakla olmuyor. kakanin dusmesi icin de kumlarin elekten cikip tekrar esit dagilmasi icin de kolu biraz sallamaniz gerekiyor. gerci belirmem gerekir ki ben normal kum degil, silica kum kullaniyorum. bunun yaninda ust bolmedeki torba kullanissiz cunki kediler parcaliyor, daha buyuk zorluk cikiyor. ayni zamanda koku yapmadigi dogru degil, alt bolmede kaka kuruyana kadar kokuyor. ve benim yaramaz ceviz ve bademim nasil oluyorsa kum tanelerini bu yuksek kapili bu tuvaletten bile asiriyor. diger tuvaletlerindeki kadar olmasa da yerden kum temizliyorum. belki normal kumda boyle olmayabilir. en azindan kurekle ugrasmiyorum. ic hacim kucuk, kedilerim de kucuk oldugu icin sigabiliyorlar, simdilik kullanmaya devam edicem. ama buyuduklerinde sikinti yasar miyim bilmiyorum",Yazım Bozukluğu
ürün kaliteli duruyor ama vida ve dubel aparatları olsa daha iyi olurdu.,Bağlamsal/Diğer
"ikinci yorumum, umarim en azindan bu yayinlanir. eger az cok arastirabiliyorsaniz telefonun ozelliklerinin cok iyi oldugunu bilirsiniz. ben sadece aciklanmayan bir durumu belirtmek istiyorum; bu telefonu alirsaniz orijinal rom'unu sizin yuklemeniz gerekiyor. telefon 'fake seller rom' uyarisi ile geliyor. internet uzerinde duzeltme yontemleri var, bir kac eposta ile halledilebiliyor. eger bu duzeltmeyi yaparsaniz ileride cikacak guncellemeleri de alabiliyorsunuz, telefonunuz orijinal rom'a sahip oliyor boylece. ugrasmak istemeyenler teknik bilgisi olan birine danisarak alsinlar telefonu.",Yazım Bozukluğu
arkadaşlar telefon olarak gayet iyi bir telefon.,Bağlamsal/Diğer
"aracım 2001 model berlingo, 138 binde yağı değiştirdim, filtreyi değiştird",Bağlamsal/Diğer
fiyata göre iş gören bir ürün yani sizi idare eder.,Bağlamsal/Diğer
"malzeme ve işçilik fena değil .kaynak çapakları üstünde kalmış,paket özenle hazırlanmış.",Olumsuzlama
iphone 6 plus veya daha ağır bir telefon kullanıyorsanız asla düşünmeyin hiçbir şekilde gücü yetmiyor taşımaya. her sarsıntıda telefon yerlerde.,Olumsuzlama
hepsiburadaya tesekkurler,Kısa Yorum
süper hızlı ama ellerinde ürün yok.i̇ki gündür sipariş hazırlanıyor diyorlar.,Olumsuzlama
6.en önemlisi piyasaya göre normal ancak bir sene önceki telefon fiyatlarına kıyasladığınızda verdiğiniz paraya değmiyor.,Yazım Bozukluğu
hız normal bu boyut için...,Bağlamsal/Diğer
her iki cihazda da güç açma kapama anahtarı yok. bu nedenle pil sarfiyatı çok olabilir.,Olumsuzlama
menüleri diğer kaliteli markalarla kıyaslanamaz.,Bağlamsal/Diğer
banyomun muhtelif yerlerine 5 adet monte ettim. birisine bornoz astım bir haftadır taşıyor. olduğu yerden düşmedi. 6-8 haftada bir çıkartıp bakımını yapmak gerekiyormuş. 5 adet alınca biraz zahmetli olacak. tutup döndürmeye yarayan kısmı daha kolay tutulabilir ve döndürülebilir olsaydı daha iyi olurdu.,Bağlamsal/Diğer
çekimi çok zayıf hiç gerek yok...,Olumsuzlama
iki kademeli ısıtma var soğuk üfleme yok. fan hızı çok iyi.açıkçası makine çok sağlam duruyor sanki hiç bozulmaz ömürlük gibi bir havası var.ancak hava sıcaklığı çok az. sıcaklığı özellikle vurguluyorum az.,Olumsuzlama
ekstra diş macunu alıp dişlerinizi bir fazla fırçalarsanız etki daha büyük olur çünkü etkisi yok.,Olumsuzlama
fazla bir beklentiniz yoksa alınabilir.,Olumsuzlama
arkadaşlar güvenilir olsun diye kvk dan aldım cihazı sırf şarjı uzun gidiyormuş diye aldım. bütün dediklerini yaptım sarjını %5 te kapatıp 10-12 saat şarj ettim. bu gün en fazla bi saat ilgilenmişimdir telefonla şu an şarjım %11 yani sabah 7 den akşam 5:45 e kadar (bi saat oynadım en fazla) %89 şarj yemiş bi şey anlayamadım ben bu işten,Bağlamsal/Diğer
fiyat karşılığında gelen ürün kalitesi fena sayılmaz.,Bağlamsal/Diğer
bu koku ve joop! homme duyduğumda hemen farkediyorum ve bu iki kokuyu kullanan arasında 500m mesafe bırakıyorum.,Bağlamsal/Diğer
resimlerde göründüğünden farklı olarak kesici yeri cikintili ve kayar hareket yaparak kesme sağlıyor. daha önce burun kılları için yuvarlak uclu kesici kullananlar almasın ben çok pisman oldum.,Bağlamsal/Diğer
"arkadaşlar ürün fiyatın tam karşılığı denebilir. ses kalitesi işporta kulaklıklara nazaran ii olsa da, 10 dakika sonra kulağınızda ağrı yapıyor ve sesi çok fazla dışarı veriyor",Bağlamsal/Diğer
- basınçla diş ve dişeti arasındaki zor ulaşılan yerleri temizlemesi gerekiyor ancak bunun için ciddi bir güç gerekiyor. bu basınç gelmediğinden inanın ağızınızı çalkalasanız çok daha iyi temizlersiniz.,Bağlamsal/Diğer
fena değil. abartmaya gerek yok..,Olumsuzlama
"aldığım gibi geri gönderdim, bez bir çantadan başka bir şey değil. iade konusunda sıkıntı çıkarılmadı, bu yüzden teşekkürler.",Olumsuzlama
"ürün hafta sonuna denk geldiği için 3günde elime ulaştı , beklediğim gibi bir ürün bakıldıgında çok basit gibi görünüyor ama el alışınca zevkli bir ürün oldugunu anlıyorsunuz tespih çekilemeyen ortamlarda bununla stres atabilirsiniz ürün özelliğine göre fiyatı yüksek oda bir gerçek.",Bağlamsal/Diğer
uygun ve kaliteli tavsiye ederim,Bağlamsal/Diğer
üstüne biraz daha para verip biraz daha iyisini almamakla hata ettim.,Bağlamsal/Diğer
bu aparat 400mb/sn aktarımı olması lazım yanlış hatırlamıyorsam.,Yazım Bozukluğu
kutu icerigi bos sadece anakart 2 sata kablo ve cd cikiyor,Bağlamsal/Diğer
cihaz neredeyse mikrodalga fırın kadar yer kaplıyor.,Bağlamsal/Diğer
kestirince montaj tamamlandı,Kısa Yorum
cidden hayal kırıklığı yaşamak istiyosanız hemen alın:),Bağlamsal/Diğer
sipariş 1 haftada elime ulaştı.gayet uzun bir süre.oyunu daha deneme fırsatım olmadı ama en azından bir hasar yoktu.yinede bir hafta çok uzun bir süre,Olumsuzlama
modeli̇ güzel ... gündeli̇k kullanmak i̇yi̇ .. fakat %100 pamuk gi̇bi̇ olmuyor,Bağlamsal/Diğer
düşük ses kalitesi. fakat fiyatına göre jak girişiniz bozuksa iş görür.,Bağlamsal/Diğer
low(düşük) ayarlarda(1280*720p) crysis 3 -30fps,Yazım Bozukluğu
evde küçük işlere ideal ancak daha ağır olması kesimi daha iyi yapabilir uçları tavsiye etmem ben aynı anda bosch temiz kesimleri de sipariş ettim gücü yerinde kullanması kolay,Bağlamsal/Diğer
ürün çok güzel siparis verdikten 21 gün sonra elime ulaştı ben böyle bi hizmet görmedim teşekkürler ediyorum tüm çalışanlara,Bağlamsal/Diğer
