yorum,kategori
"gönderim süresi çok uzun. hepsiburada, bu kargo işine bir çözüm üretmesi lazım. özellikle aynı gün kargo 1 haftada geliyor.",Bağlamsal/Diğer
-mouse pad i çok güzel. tek artı yanı o oldu benim için.,Bağlamsal/Diğer
urun malzeme olarak kaliteli. telefonuda hizli sarj ediyor fakat. urunun full sarj olmasi 19 20 saat suruyor.,Bağlamsal/Diğer
bebeğimin eli dolaba sıkıştı aşırı esniyor ve kolay çıkıyor,Bağlamsal/Diğer
banyo bataryası ecostat serisi termostatik batarya,Bağlamsal/Diğer
"son siparişimden sonra şunu anladım; osaka marka led ampul alacaksan e27 duylu olanını alacaksın.yaklaşık 6 ay önce e14 duylu 6watt 6 tane ampul almıştım,sırayla bozuldular.şu an sadece bir tanesi çalışıyor.10 gün önce tekrar osaka e14 duylu 3 watt 6 adet ampul sipariş verdim.avizeye taktım tümü çalıştı,gayet güzel.ertesi akşam düğmeye dokunur dokunmaz 1 tanesi yine gitti.canım sıkıldı :(",Yazım Bozukluğu
i̇phone sorunsuz. süper hızlı gönderi yalan. kargo zamanında çıkmıyor.,Bağlamsal/Diğer
"süper hızlı gonderi olmasına güvenip doğum günü hediyesi olarak almıştım, günler sonra elime ulaştı. kargo fiyasko ama urun kullanisli",Bağlamsal/Diğer
yastık fiyatına göre güzel fakat biraz sert yapısı hasta oldugunuzda sizi gerçekten çok rahatsız ediyor. onun dışında alınır,Bağlamsal/Diğer
"motorola nin ürünleri genelde kalitelidir, ben geçmişte motorola atrix almıştım, hatrı sayılır parayla, zamanının da kralıydı. hepsiburada çok satanlardaydi uzun süre. zevkle kullandım, ne var ki 0 güncelleme, geri kalmış yazılımla telefon benim gibi atlayanlarin eline patladı. kalite, sağlamlık 10 numara, türkiye desteği, güncelleme, stabil kalma 0 numara.",Bağlamsal/Diğer
"yaklaşık 5.000 km dir kullanıyorum.ıslak yolda güven vermiyordu.geçende ıslak yolda kaydırma hissedince frene dokundum,(60 km hızla giderken)araba spin atıp döndü.bilginize.",Yazım Bozukluğu
zira dediğim gibi büyük telefonlar zaten iyi,Bağlamsal/Diğer
ürün saği solu kayik aralarinda açikliklar var. montaj hizmeti icin gelen arkadas şaşirdi buraya da vida atalim dedi yoksa düşer dedi̇ ve öyle bi̇r yere vi̇da attiki̇ tv üni̇tesi̇ yeri̇ne sadece o vi̇dayi koysaydik o bölgeye daha güzel gözükürdü.,Olumsuzlama
"ürün görüntü olarak güzel, kurulumu çok kolay fakat malzemesi çok ince pek dayanıklı değil alırken göz önünde bulundurmanızı tavsiye ederim.",Olumsuzlama
+ bebek arabanız varmış hissine kapılıyorsunuz o kadar,Bağlamsal/Diğer
urunu kullandim baştan faydasi oldu gi̇bi̇ geldi̇ ama 1 gün sonra daha çok sizdirmaya başladi bençe fi̇ faydasi yok en kisa sürede bi̇ radyatörcüye gi̇di̇p yuaptiracam yada yeni̇ radyatör taktiracam,Olumsuzlama
ütü masamıza biraz büyük geldi.,Bağlamsal/Diğer
arkada. bluetooth kulaklık için aldım bu ürünü. almaz olaydım. ses 30 saniye düzgün 10 saniye titreme yapıyor. bulaşmayın.,Bağlamsal/Diğer
normalde ıslandığında ebat olarak büyümesi ve yumuşak olması gerek standartlara göre baya sert kalıyo ??,Bağlamsal/Diğer
"her şeyin en ucuzu konmuş gibi. makas, teneke gibi bişey gerisini düşünün",Bağlamsal/Diğer
daha önce yine hbdan braun satin hair 7 / es2 saç düzleştiriciyi almıştım. dört senedir kullanıyorum çok memnundum. bunu da işyerimde kullanmak için aldım. daha iyi olacağını düşünmüştüm. ama kesinlikle ikisini de kullanan biri olarak braun satin hair 7 / es2 saç düzleştiriciyi tavsiye ederim. hb çalışanlarına hızlarından dolayı da tşk ediyorum,Bağlamsal/Diğer
ürünün yorumlarına bakarak almaya karar verdim. ancak yorumlarda bahsedildiği gibi değil. sabah kaynamış çorba koydum öğlene kadar buz gibi olmuş. kesinlikle termos işlevini görmüyor.,Olumsuzlama
kokusu gitsin diye 1 hafta balkonda tuttum.hala biraz kokusu var ama kullanılacak duruma geldi...alacak arkadaşların göz önünde bulundurmasını tavsiye ederim...,Bağlamsal/Diğer
aynı neopren kumaşın kokusu gene iğrenç zaten,Bağlamsal/Diğer
"son olarak, hele ki slr makine veya iyi bir compact makine kullanıyorsanız, size hizmeti ** olur.",Yazım Bozukluğu
"philips marka baska model bir tv kullaniyorum. kampanyali diye 3000tl ye yakin bir para harcadim. pismanim. tek begendim ozeligi amblight. sorunlu serileri turkiyeye gonderdiklerini dusunuyorum. simdiki aklim olsa, ayni ozellikler icin yerli bir marka tercihederdim. sorun olsa bile verdigim paranin cogu ulkemde kalirdi...",Bağlamsal/Diğer
battani̇ye bi̇raz daha eni̇ne büyük olabi̇li̇rdi̇ ayaklarina doğru mu yoksa sirtina doğru mu uzatacağini düşünüyorsun. şi̇mdi̇li̇k memnunum. isitmasi gayet i̇yi̇. teşekkürler hb ai̇lesi̇ne,Olumsuzlama
"boyuna dikkat etmedim alırken, siz dikkatli olun. çok kısa",Olumsuzlama
"hepsiburada ya teşekkürler, siparişim bir saat sonra kargoya verildi, ancak kokusu çok keskin kendime almıştım ama babama vereceğim.yorumlara bakarak, test etmeden almayın derim.",Yazım Bozukluğu
bir kutu vazelin sürdük yinede gıcırdıyor,Bağlamsal/Diğer
4 adet 1300 lük duracell pili şarj etmesi 6 saat sürüyor ve el sürülmeyecek kadar ısınıyor piller yanacak sandım güven vermiyor tedbirli olmak lazım,Bağlamsal/Diğer
çok iyi ısınmıyor ve çok ince. yıllardır duruyor toplam 2 kere kullanamamışımdır.,Yazım Bozukluğu
deterjan gibi kokuyor deterjan sevenler alabilir,Bağlamsal/Diğer
bi türlü benimseyip kendimi kaptıramadim bu oyuna grafikler iyi oynanış fena değil ama araç modifikasyonu ve kişiselleştirme sıfır belkide bundan ötürüdür oyun kendini sevdirmiyo ve açık ara oynadığım en kötü araba yarışı oyunu,Olumsuzlama
"ürün z5 ile uyumlu değil, ürünün tanıtıcı başlığının değiştirilmesi gerekli",Olumsuzlama
"ürün usb 3.0 portuna taktığınızda ve bir dosya aktardığınızda, inanılmaz derecede ısınıyor. ayrıca hız 10 mbit de yazıyor.",Bağlamsal/Diğer
ürün kaliteli duruyor ama vida ve dubel aparatları olsa daha iyi olurdu.,Bağlamsal/Diğer
"ikinci yorumum, umarim en azindan bu yayinlanir. eger az cok arastirabiliyorsaniz telefonun ozelliklerinin cok iyi oldugunu bilirsiniz. ben sadece aciklanmayan bir durumu belirtmek istiyorum; bu telefonu alirsaniz orijinal rom'unu sizin yuklemeniz gerekiyor. telefon 'fake seller rom' uyarisi ile geliyor. internet uzerinde duzeltme yontemleri var, bir kac eposta ile halledilebiliyor. eger bu duzeltmeyi yaparsaniz ileride cikacak guncellemeleri de alabiliyorsunuz, telefonunuz orijinal rom'a sahip oliyor boylece. ugrasmak istemeyenler teknik bilgisi olan birine danisarak alsinlar telefonu.",Yazım Bozukluğu
arkadaşlar telefon olarak gayet iyi bir telefon.,Bağlamsal/Diğer
"aracım 2001 model berlingo, 138 binde yağı değiştirdim, filtreyi değiştird",Bağlamsal/Diğer
"malzeme ve işçilik fena değil .kaynak çapakları üstünde kalmış,paket özenle hazırlanmış.",Olumsuzlama
kullandığım braun series 5in temizlenmesi için hepsiburadadan sıklıkla sipariş veriyorum. makinenin önce iç haznesini fırçalamadan koyarsanız çok büyük bir etkisi yok. hazne temizlerseniz elek kısmı ve jiletler ilk günkü gibi oluyor. yalnız içindeki temizleyici sıvı çok çabuk uçuyor bu sebeple çok mutlu değilim,Olumsuzlama
hepsiburadaya tesekkurler,Kısa Yorum
philips televizyonun usb den okuyamadığı formatları okuması için aldım ama bir fark olmadı bir çok formatı okumadı ayrıca audio formatlarındada sıkıntı çıkardı.,Olumsuzlama
süper hızlı ama ellerinde ürün yok.i̇ki gündür sipariş hazırlanıyor diyorlar.,Olumsuzlama
6.en önemlisi piyasaya göre normal ancak bir sene önceki telefon fiyatlarına kıyasladığınızda verdiğiniz paraya değmiyor.,Yazım Bozukluğu
hız normal bu boyut için...,Bağlamsal/Diğer
her iki cihazda da güç açma kapama anahtarı yok. bu nedenle pil sarfiyatı çok olabilir.,Olumsuzlama
menüleri diğer kaliteli markalarla kıyaslanamaz.,Bağlamsal/Diğer
banyomun muhtelif yerlerine 5 adet monte ettim. birisine bornoz astım bir haftadır taşıyor. olduğu yerden düşmedi. 6-8 haftada bir çıkartıp bakımını yapmak gerekiyormuş. 5 adet alınca biraz zahmetli olacak. tutup döndürmeye yarayan kısmı daha kolay tutulabilir ve döndürülebilir olsaydı daha iyi olurdu.,Bağlamsal/Diğer
"ürünü yorumlara ve fiyata dayanarak büyük bir hevesle sipariş ettim. elime ilk ulaştığında oldukça güzel şık ve kaliteli duruyordu ancak dikkatli incelediğimde iç kaplamasında homojen dağılım olmadığını, pürüzlü olduğunu gördüm ve çok üzüldüm. ürün elinize geçtiğinde dikkatli incelemenizi tavsiye ederim.",Olumsuzlama
iki kademeli ısıtma var soğuk üfleme yok. fan hızı çok iyi.açıkçası makine çok sağlam duruyor sanki hiç bozulmaz ömürlük gibi bir havası var.ancak hava sıcaklığı çok az. sıcaklığı özellikle vurguluyorum az.,Olumsuzlama
etek traşı için kullanıyorum oda yumuşak deriyi kapıyor(((,Bağlamsal/Diğer
arkadaşlar güvenilir olsun diye kvk dan aldım cihazı sırf şarjı uzun gidiyormuş diye aldım. bütün dediklerini yaptım sarjını %5 te kapatıp 10-12 saat şarj ettim. bu gün en fazla bi saat ilgilenmişimdir telefonla şu an şarjım %11 yani sabah 7 den akşam 5:45 e kadar (bi saat oynadım en fazla) %89 şarj yemiş bi şey anlayamadım ben bu işten,Bağlamsal/Diğer
ürün klasik 5.0v / 2.0 a üründür. hızlı şarj diye tabir ettiğimiz 9w 1.67a değildir. bilginize...,Olumsuzlama
bu koku ve joop! homme duyduğumda hemen farkediyorum ve bu iki kokuyu kullanan arasında 500m mesafe bırakıyorum.,Bağlamsal/Diğer
kitabi cok satanlarda gordugum icin aldim. her bir sonraki sayfada akicilik beklerken bir turlu akis olmuyor. beni heyecanlandirmadi. az kaldi bitmesine. su anda kitabi sirf aldigim icin okuyorum diyebilirim.,Yazım Bozukluğu
resimlerde göründüğünden farklı olarak kesici yeri cikintili ve kayar hareket yaparak kesme sağlıyor. daha önce burun kılları için yuvarlak uclu kesici kullananlar almasın ben çok pisman oldum.,Bağlamsal/Diğer
"arkadaşlar ürün fiyatın tam karşılığı denebilir. ses kalitesi işporta kulaklıklara nazaran ii olsa da, 10 dakika sonra kulağınızda ağrı yapıyor ve sesi çok fazla dışarı veriyor",Bağlamsal/Diğer
"ürün hafta sonuna denk geldiği için 3günde elime ulaştı , beklediğim gibi bir ürün bakıldıgında çok basit gibi görünüyor ama el alışınca zevkli bir ürün oldugunu anlıyorsunuz tespih çekilemeyen ortamlarda bununla stres atabilirsiniz ürün özelliğine göre fiyatı yüksek oda bir gerçek.",Bağlamsal/Diğer
uygun ve kaliteli tavsiye ederim,Bağlamsal/Diğer
kutu icerigi bos sadece anakart 2 sata kablo ve cd cikiyor,Bağlamsal/Diğer
cihaz neredeyse mikrodalga fırın kadar yer kaplıyor.,Bağlamsal/Diğer
kestirince montaj tamamlandı,Kısa Yorum
sipariş 1 haftada elime ulaştı.gayet uzun bir süre.oyunu daha deneme fırsatım olmadı ama en azından bir hasar yoktu.yinede bir hafta çok uzun bir süre,Olumsuzlama
kısa teslim süresi için hepsiburada ya teşekkürler fakat molfix kalitesi beni şaşırtarak berbat. pişik ve sızdırma sorunlarıyla karşılaştık. prima ve huggies erkek te hiç böyle sorunlarımız olmadı.,Olumsuzlama
dekoratif olarak gayet güzel ancak işçiliği için aynı sözleri sarfedemeyeceği. ağaç kılçıkları hala üzerinde. kenarları çok keskin. daha ince işçilikle yapılabilirdi.,Yazım Bozukluğu
ebad olarak çok büyük akvaryumun kapağini kapatamiyom,Bağlamsal/Diğer
evde küçük işlere ideal ancak daha ağır olması kesimi daha iyi yapabilir uçları tavsiye etmem ben aynı anda bosch temiz kesimleri de sipariş ettim gücü yerinde kullanması kolay,Bağlamsal/Diğer
ürün çok güzel siparis verdikten 21 gün sonra elime ulaştı ben böyle bi hizmet görmedim teşekkürler ediyorum tüm çalışanlara,Bağlamsal/Diğer
"aldığım gün şap kırmak için kullandım aman aman bir sonuç almadım, profesyoneller için kesinlikle uygun değil, evdeki ufak tefek işlerde kullanılabilir. hepsiburada.com ertesi gün gönderdi ürünü tşk.",Olumsuzlama
3.ilk zamanlar android markete girmekte sıkıntılar yaşatıyor update etmek gerekiyor teknik servise götürmeniz gerekebilir arada birde fabrika ayarlarına getirmeniz gerekecek,Bağlamsal/Diğer
ürün gerçekten parlatıyor. ancak meguiarsın ürünlerini kullandıktan sonra sonax ya da turtle waxın cilalarını bir daha kullanmadım. arada büyük kalite ve parlaklık farkı var. cila almayı düşünüyorsanız meguiars alın farkı göreceksiniz.,Bağlamsal/Diğer
son iki siparişimde petrol türevi koku vardı en sonuncusunda da aynı durum olunca iade ettim. ve bu koku bebeğimin teninede işliyor,Bağlamsal/Diğer
benim aldığım cihazın satıcısı hepsiburada ve arkadaşların da bahsettiği gibi dil desteği için rom yapılmış cihaz gelebiliyor. eğer bu konuyu çok önemsiyorsanız telefonu aldığınız zaman kutusuna dikkat edin çünkü üzerine türkçe dil desteği ile ilgili not düşülmus olabilir ve bu da rom yapılmış olabilir demek bunun en kesin yolu ise telefon geldiğinde ilk açılışı yaparken ses kısma tuşu + home tuşu + tuş kilidi tuşuna uzun basın ve sonraki gelen ekranda ses açma tuşuna basın. orada knox warranty void : 1 0x0500 yazıyorsa cihaz romlanmis demek ve deep sleep sorunu yaşayabilir. gerisi size kalmış ister iade edersiniz ister root veya kernel yükleyebilirsiniz. diğer satıcıların telefonları ne durumda bu konu ile ilgili bir bilgim yok. i̇yi günler.,Olumsuzlama
hemen herkeste olan bır koku olmamışsa bıle tanır yanı üstelik ne kalıcı ne de hafıf tam tersı boğdu benı.. tavsıye etmıyorum kimseye,Bağlamsal/Diğer
oyun ve bilgisayarı yoğun kullanıcıları bu ürünü almasınlar pişman olurlar.,Bağlamsal/Diğer
ilgi alanima girmediginden saniyorum begenmdim,Bağlamsal/Diğer
motor arıza gösteriyordu. ürünü kattıktan sonra beş altı km yüksek devirde kullanınca motor arıza göstergesi söndü.,Bağlamsal/Diğer
güzel ve gösterişli ancak malzeme kalitesi olarak biraz zayıf gibi geldi bana. ayrıca koltuk çok dik ve uzun süreli oturduğunuz zaman bel ağrısı yapıyor.,Bağlamsal/Diğer
"11-16 cm genişliğinde kapılarda kullanılabileceğine ürün açıklamalarında yer verilmemiş, bu çok büyük eksiklik. kapım 18 cm idi ve olmadı. eğimli bağlantı yerlerini 3 cm ileriden delik açıp kaydırarak ürünü 14-19 cm kapıya uygun hale getirdim. deliklerden kırılma olmasın diye deliklerden vida takarak güçlendirdim. benim işimi çözdü sonuçta ama benim olanağım vardı yaptırdım. kapı genişliğinde de limit var dikkkat",Olumsuzlama
"kargo hızı ve ürünün paketlenmesi mükemmel, çok sessiz çalışıyor ev için ideal. kurulumu çok zor değil, video yardımıyla rahatça kurduk.",Olumsuzlama
keşke sevdiğim bu yazarın kitaplarını sipariş etmeden önce yorumları okusaydım. sırt sırta yapışık iki kitap yerine bir kitap aldığımdan haberdar olurdum. ürün özelliklerinde bunun yazması gerekirdi. yorumlara rağmen eksiklik olması müşteri ilişkilerinde kopukluğu gösteriyor.,Bağlamsal/Diğer
kullanımdan sonra elde iz bırakıyor. uzun süreli kullanım tavsiye edilmez. eğer spor süreniz kısa ise alabilirsiniz elde güzel duruyor en azından.,Bağlamsal/Diğer
"ürünle ilgili leke çıkarıcı gibi aşırı beklentiniz olmasın,iç kısımda toz alırken,maksat temizlik ürünüyle iş yapıyorum gözüksün, gibi bir tabiri tamamlamak için kullanılabilecek bir ürün. teşekkürler h.b.",Yazım Bozukluğu
"eşime hediye olarak aldım,ilk iki resimdeki ürüne bakarak aldandım sanırım,3. resime de bakmalıydım, çünkü gelen ürün 3. resimdeki ürün.ayrıca smart light diye bir ışık sistemi falan yok.onun için alıyorsanız almayın bence.hepsi burada hakikaten şaşırtmaya devam ediyorsun.teşekkürler.",Olumsuzlama
annemlere aldım fiyatına göre iyi bir cihaz,Bağlamsal/Diğer
alalı bır ay olmadı daha saat bozuk sureklı ılerı alıyor kendını gunluk 25 dk bileklik olarak kullanmak isteyenlere tavsiye ederim ama :),Olumsuzlama
3- bilgisayarda kullanacaklar da 5+1 ses kartları yoksa yine istenilen ses kalitesini elde edemezler. ses kartınızın çıkışlarını tekrar kontrol edin.,Olumsuzlama
fiyat performansı düşük buldum.,Kısa Yorum
mach 3 kullanıyorsun mach 3 gore gayet iyi,Bağlamsal/Diğer
"olumlu tarafları: ses derinliği çok iyi, küçük sesleri dahi seçebilecek kadar kaliteli ses sunuyor. telefon konuşmalarında karşı tarafa iyi ses aktarıyor. metalik kısımları kaliteli görünüyor. fiyat performans olarak tercih edilebilir.",Bağlamsal/Diğer
kalıcı ve ağır bir koku yazın daha ağırlaşabiliyor.,Yazım Bozukluğu
"kontrol ekranı seçenekleri 2 adet başka seçenek yok,",Olumsuzlama
tavsiye edilebilecek bi tlfn tabikşde hepsiburada.com a tşkrler,Bağlamsal/Diğer
"ürünün metal bölümleri çapaklı, törpülenmemiş. elinizi kesmesi mümkün.",Bağlamsal/Diğer
gayet iyi bu kalitede yerli ürüne ihtiyaç var. türk malı olsa keşke alsak.,Bağlamsal/Diğer
"yani sonuçta uygun bir havlu, eli kuruluyor :) ancak çok ciddi bir tüketim yok ise ben bir iki basamak daha kaliteli havlu tavsiye ederim. tabi bir parça yetmiyor ikincisini alıyorsunuz, belki daha kalitelisiyle tek parçada işi bitirirsiniz.",Olumsuzlama
çok iyi yanı cevapsız aramaları kaydediyor kötü yanı en son kimle konuştuğunuzu göstermiyor ben iş yerine aldım sekreter birinin aradığını söledi menüde epey karıştırdım ama hangi numaranın aradığını göstermiyor sadece telefonu açmazsanız o numarayı cevapsız olarak gösteriyor,Karma Duygu
bir sürü yorum var sadece biri doğru yazmış burdaki yorumlalara göre aldım gerçekten çok acı veriyor acısına zor dayandım işide pek yaramıyor,Bağlamsal/Diğer
hepsi buradanın gönderim hızına öncelikle teşekkürler.i̇tiraf ediyorum doldurma parfümler bundan çok daha uzun süre kalıyor.koku mükemmel kaliteli ama kapagını aç kokla geri kapat o kadar.sabah sıkıyorum iş yerine gidene kadar uçuyor koku.,Yazım Bozukluğu
bu fıyata bu urun olurdu,Bağlamsal/Diğer
vücut anali̇zi̇ i̇lk aldiğim gün çalişti ertesi̇ gün arizalandi ve bi̇r daha ölçmedi̇.,Bağlamsal/Diğer
makine çok güzel çok kullanışlı ve kaliteli fakat şuanki fiyatı çok fazla,Bağlamsal/Diğer
hepsiburada.com a teşekkürler ürün 2-3 günde bana ulaştı. ürünü aldığınızda yağını mutlaka koyun fabrikada denemek için az yağ koyuyorlarmış eğer yağ koymadan kullanırsanız hemen arza veriyor. birde bu makineden çok büyük işler beklemeyin küçük yerler için ideal.,Bağlamsal/Diğer
"gücü az en önemlisi lümen değeri az, ampulün lümen değeri yüksek olmalı ki ışık şiddeti iyi olsun. alırken lümen değerine bakın.",Bağlamsal/Diğer
belki fiyat olarak çok daha pahalı olacak ama bu ürünü kullanmaktansa düzgün bi boya koruma ürününnü tavsiye ederim. en azından sadece boya parlamakla kalmaz güneşim ve diğer etkenlerin yıpratıcı etkilerinden korur.,Bağlamsal/Diğer
ürün görsellerine bakıp karar vermeyin derim. özelliklere baktğımda renkli çıktı alınabildiği görülüyor fakat yazıcı tamamen siyah-beyaz. renkli aramayanlara tavsiye ederim.,Bağlamsal/Diğer
"gecen sene almistim yaklasik 6 aydir kullaniyorum, şarji cok cabuk bitiyo ve yüzde 15 in altina düşdügü zaman kendiliginden kapaniyo.",Bağlamsal/Diğer
hepsi burada ekibi ne başarılar...,Bağlamsal/Diğer
yeni dogan bebegin agzina hem agir geliyor hemde neredeyse yuzunu kapliyor. cok kullanissiz. bebegim hic emmedi bunu. bosuna para vermeyin. cok kotu.,Bağlamsal/Diğer
"ürünü 1 sene kullandım. koku yapan yapısı yanında çıkarması zor, bilek bantları kullanışsız ve kolaylıkla deforme oluyor. memnun kalmadığımı rahatlıkla söyleyebilirim",Bağlamsal/Diğer
i̇şe yarayan tüm ürünler gibi çok güzel bir fiyat ile satışa sunulan a5 poşet dosyanın zamanında tarafıma ulaşması ile faydalı olduğunu düşünüyorum.saygılarımla.,Yazım Bozukluğu
4 tane ayak ile uğraşmak deli ediyor. sonuçta iki elim var. onun yerine yanlara iki tane destek yapsalarmış daha iyi olurdu.,Bağlamsal/Diğer
aynı numara bez ile karşılaştırıldığında daha az sıvı tutabiliyor. fiyatı da %50 pahalı.,Yazım Bozukluğu
ürün aydınlatması gayet güzel ama 5w yazmasına rağmen ölçü aleti ile ölçtüğümde anlık volta bağlı olarak 12-13w civarı enerji harcıyo buna rağmen uzun ömürlü olduğu ve ısınma gereği duymadan soğuktada aynı ışığı vermesi güzel aldığım diğer ledlerden bir bu konuda sıkıntı yaşadım altermatifler değerlendirilmeli,Yazım Bozukluğu
ürün kesinlikle işe yarıyor ancak led ampulun ışığı kullanım esnasında göze giriyor normalde isigi kullanan kisinin görmemesi gerek.yinede hizli kargo icin hepsiburada ya teşekkürler,Bağlamsal/Diğer
ürün beklediğimden daha hızlı geldi.,Bağlamsal/Diğer
birtek kötü yanı akülerin çabuk bozulması ve yedeğinin bulunmaması.,Bağlamsal/Diğer
1.şarj aleti küçücük ve usb kablosundan da şarj olabiliyor.,Bağlamsal/Diğer
ürünü aldıgımda yavru kedime büyük geldigi icin bandanasını kesmek zorunda kaldım ve kedim o bandanadan huylanıyordu su icerken fln hep ıslanıyor,Bağlamsal/Diğer
urun kaliteli ama enerji kaybi cok yuksek. maks 6500 mah oda maks ayrica sarj aleti cikmiyor icinden ve 5 v 2 ma olmak zorunda,Bağlamsal/Diğer
ya arkadaslar bende aldım olay biraz apartılıyor ne motor sesi azalıyor nede yakıt.motora ekledikten sonra 400 km yaptım ne yakıt azaldı ne ses ..bu olay dişi agrıyan bir kişinin doktara giderken diş agrısının gecmesine benziyor. yani tamamen olaya adapte oldugunuz için yakıt azalıyor diyorsunuz.tesekürler ....,Yazım Bozukluğu
başlardaki performansını bi kaç ay sonra sonra kaybediyor ve sadece sakal traşının süresi 25-30 dakika sürüyor. o kadar uğraştan sonra traş bitti diye rahatlamışken elinize aralardan uzun kılların gelmesi ve tekrar elinize traş makinesini almanız çok büyük olası ve çok can sıkıcı.,Bağlamsal/Diğer
urunu ilk once cok begenmistim fakat ertesi gunu yapiskanlari atti.ustelik kizim daha ellememisti bile.cekmecelere ne kullanacagimi bilemiyorum,Yazım Bozukluğu
kokusu kalıcı diyenlere şaştım ürün geldikten sonra kokuyu zor hissettik açıkçası...,Bağlamsal/Diğer
basit kayış dizayn yapılmış hemen koldan kordan kilidi açılıyor,Bağlamsal/Diğer
600 bin ilmek diyor aciklamada ama 150 bin ancadir cok seyrek. renkler cok canli. fotografta daha soft gozukuyodu mutfak rengarenk oldu . indirimli aldigim için cok onemsemedim yari fiyatina geldigi icin.ama dokunup görüp ve normal fiyatina alirmiydim ...hic sanmiyorum :(,Bağlamsal/Diğer
tuslara basınca bi kere basmak yerine tek tek basıyo hızlı bir şekilde ancak ctrl veya shift tuşuna basınca bi süreligine düzeliyor bırakıp tekrar basınca yine aynısı oluyor,Bağlamsal/Diğer
bu ürünü alalı bir yıldan fazla bir zaman oldu.bir arkadaşım remington kullanıyordu onun tavsiyesi üzerine aldım. düzleştirme performansı gerçekten çok iyi.çok kısa sürede çaba harcamadan dümdüz saçlara sahip olabilirsiniz. ancak sürekli kullanıldığında saçın yapısını bozuyor ve saçı çok inceltiyor. alacaksanız ya sık sık kullanmayın ya da iyonlu bi düzleştirici alın derim. saçlarımı kestirmek zorunda bıraktıracak kadar zarar verdi.,Bağlamsal/Diğer
ses netliği ve çekim kalitesi iyi. ancak cevaplama tuşuna yanlışlıkla basıldığında son aranılan numarayı tekrar araması çoğu zaman sıkıntıya neden oluyor. kulaklığıda kulağınızdan çıkartmış iseniz durumun farkına varamıyor ve istenmeyen na hoş durumlarla karşılaşma riski doğuruyor.,Bağlamsal/Diğer
beş yerde tartıldım beşinde de farklı tartti. değiştireceğim umarım aynı sorunu yaşamam.,Bağlamsal/Diğer
mükemmel bir ürün özellikle ilköğretimde çocuğunuz varsa kaçırmayın.renkli ve kurşunkalaemler için çok iyi.mükemmel kalem açıyor.fiyatıda oldukça iyi,Yazım Bozukluğu
i̇yi deyıl bu fiyatı daha isi bulunabilir,Bağlamsal/Diğer
tv yi kullanalı yaklaşık bir sene olacak... yorumuma gelince renk kalitesi biraz düşük gibi görünüyor. ayrıca söylendiği gibi köşelerde kararma var. sebebi de bence backlight ışıkları nın biraz zayıflığından gibi geliyor bana. bu arada 4k kanalda hızlı kamera geçişlerinde detaylarda bozulmalar da gözlenebiliyor. yani uzun lafın kısası 9 serisi bir tv ye göre bu panel biraz zayıf kalmış.. tabiki özellikleri itibariyle bu fiyata uygun diyebilirim.,Bağlamsal/Diğer
eğer boyunuz 180den fazla ve kapı boyu kısa ise kapı aralığına monte olan bu aletler için bir kez daha düşünün. dizleri kırarak barfiks hoş ve estetik değil.,Olumsuzlama
daha önce hep nokia marka kulaklık kullandım onlardan bir farkını ve eksikliğini söylemek isterim. kapsama alanı dışına çıkıp kulaklık telefon bağlantısı kesildiğinde nokialar bağlantıyı tekrar otomatik olarak sağlıyor. bunda ise bu yok telefon üzerinden yeniden bağlamanız gerekiyor. bunun dışında çok güzel özellikleri güzel bir görünümü ve ses kalitesi var.,Olumsuzlama
artıları: dışarıda rüzgar olmadığı bir günde ufak tefek boya işleri yapılabilir.,Olumsuzlama
"bir hafta önce sipariş verdim henüz kargoya verilmedi bile tedarikçi firmadan bekleniyor yazıyor, hadi hayırlısı inşallah bir gün gelecek bakalım..",Bağlamsal/Diğer
"aldım uyguladım ama çok bariz bir fark olmuyor. bence hiç gerek yok, üstelik ısrarla silmeye devam ederseniz daha da çiziyor. olmadı farı değiştirdim zaten.",Olumsuzlama
60 x 120 yatak için bir boy büyüğünü alın. takmak oldukça zor. önce çapraz lastikleri takarak başlayın. o zaman biraz daha rahat takılıyor.,Bağlamsal/Diğer
ürün çin malı olarak geldi. üstelik orjinal pili(3 pin) ile bu pilin pin sayıları(4 pin) farklı. diğer problem ise normalden biraz kalın ve geniş olması. geniş olması pilin yuvaya sıkışık oturmasına sebep oluyor. pil durumu umarım orjinale yakın gider.,Bağlamsal/Diğer
ürün güzel sessiz,Kısa Yorum
"ürün genel olarak güzel ve kaliteli, ekran düzeni ve kullanım kolaylığı da iyi. ancak ışık düzeyinin düşük olması problem. üstelik aydınlatmayı sağlayan ampul, ekranın sol tarafına yani saat ve sıcaklık bilgilerinin bulunduğu yerin aksine yerleştirilmiş. bu da gece görmeyi zorlaştırıyor.",Bağlamsal/Diğer
ürünü aynı markanın normal paketleriyle kıyasladığınızda kalite farkı olduğunu anlayabiliyorsunuz. ekonomik paket adı altında satılan aynı ürünün kalite farkı olması açıkça tüketiciyi yanıltmaktır.,Yazım Bozukluğu
"ürün görselinde görüldüğü gibi farklı renkli parçalara sahip olarak gelmedi yani her geometrik şekil ayrı bir renk olmalıyken sadece üç renk var. yıldız, artı, üçgen, daire, kare, beşgen olarak 5 farklı renkte gelmedi, 3 renk olarak geldi. evet ucuz ama görseliyle aynı olsa güzel olurdu.",Bağlamsal/Diğer
